compound,base_compound,isotope_info,neutral_formula,ion_formula,mass_type,calculated_mz,atomic_base_mass,atomic_mz,rdkit_base_mass,rdkit_mz,atomic_difference,rdkit_difference,method_difference
Hexanes [M+H]+,Hexanes,,C6H14,C6H15,protonated,87.1173754490,86.10955044898,87.11737544898,,,1.999467258428922e-11,,
Hexanes [M+NH4]+,Hexanes,,C6H14,C6H18N,ammoniated,104.1433734490,86.10955044898,104.14337344898,,,1.999467258428922e-11,,
Hexanes [M+Na]+,Hexanes,,C6H14,C6H14Na,sodiated,109.0993194490,86.10955044898,109.09931944898,,,2.000888343900442e-11,,
Hexanes [M+K]+,Hexanes,,C6H14,C6H14K,potassiated,125.0732574490,86.10955044898,125.07325744898,,,1.999467258428922e-11,,
Hexanes [2M+H]+,Hexanes,,C12H28,C12H29,dimer_protonated,172.2191008980,172.21910089796,173.22692589796,,,1.0078249999600075,,
Toluene [M+H]+,Toluene,,C7H8,C7H9,protonated,93.0704252566,92.06260025656,93.07042525656,,,4.000355602329364e-11,,
Toluene [M+NH4]+,Toluene,,C7H8,C7H12N,ammoniated,110.0964232566,92.06260025656,110.09642325656,,,4.000355602329364e-11,,
Toluene [M+Na]+,Toluene,,C7H8,C7H8Na,sodiated,115.0523692566,92.06260025656,115.05236925656,,,4.000355602329364e-11,,
Toluene [M+K]+,Toluene,,C7H8,C7H8K,potassiated,131.0263072566,92.06260025656,131.02630725656002,,,3.998934516857844e-11,,
Toluene [2M+H]+,Toluene,,C14H16,C14H17,dimer_protonated,184.1252005131,184.12520051312,185.13302551312,,,1.0078250000200057,,
Aniline [M+H]+,Aniline,,C6H7N,C6H8N,protonated,94.0656742293,93.05784922929,94.06567422929,,,1.000444171950221e-11,,
Aniline [M+NH4]+,Aniline,,C6H7N,C6H11N2,ammoniated,111.0916722293,93.05784922929,111.09167222929,,,1.000444171950221e-11,,
Aniline [M+Na]+,Aniline,,C6H7N,C6H7NNa,sodiated,116.0476182293,93.05784922929,116.04761822929,,,1.000444171950221e-11,,
Aniline [M+K]+,Aniline,,C6H7N,C6H7KN,potassiated,132.0215562293,93.05784922929,132.02155622929,,,9.976020010071807e-12,,
Aniline [2M+H]+,Aniline,,C12H14N2,C12H15N2,dimer_protonated,186.1156984586,186.11569845858,187.12352345858,,,1.007824999979988,,
Silicic acid [M+H]+,Silicic acid,,H4SiO4,H5O4Si,protonated,96.9957101390,95.98788513902,96.99571013901999,,,1.999467258428922e-11,,
Silicic acid [M+NH4]+,Silicic acid,,H4SiO4,H8NO4Si,ammoniated,114.0217081390,95.98788513902,114.02170813901999,,,1.999467258428922e-11,,
Silicic acid [M+Na]+,Silicic acid,,H4SiO4,H4NaO4Si,sodiated,118.9776541390,95.98788513902,118.97765413901999,,,1.999467258428922e-11,,
Silicic acid [M+K]+,Silicic acid,,H4SiO4,H4KO4Si,potassiated,134.9515921390,95.98788513902,134.95159213902,,,1.9980461729574017e-11,,
Silicic acid [2M+H]+,Silicic acid,,H8O8Si2,H9O8Si2,dimer_protonated,191.9757702780,191.97577027804,192.98359527803999,,,1.0078250000399862,,
Phosphoric acid [M+H]+,Phosphoric acid,,H3PO4,H4O4P,protonated,98.9847202044,97.97689520444999,98.98472020444999,,,4.997957603336545e-11,,
Phosphoric acid [M+NH4]+,Phosphoric acid,,H3PO4,H7NO4P,ammoniated,116.0107182044,97.97689520444999,116.01071820444999,,,4.997957603336545e-11,,
Phosphoric acid [M+Na]+,Phosphoric acid,,H3PO4,H3NaO4P,sodiated,120.9666642044,97.97689520444999,120.96666420444998,,,4.997957603336545e-11,,
Phosphoric acid [M+K]+,Phosphoric acid,,H3PO4,H3KO4P,potassiated,136.9406022044,97.97689520444999,136.94060220445,,,4.999378688808065e-11,,
Phosphoric acid [2M+H]+,Phosphoric acid,,H6O8P2,H7O8P2,dimer_protonated,195.9537904089,195.9537904089,196.9616154089,,,1.0078249999999969,,
Triethylamine [M+H]+,Triethylamine,,C6H15N,C6H16N,protonated,102.1282744858,101.12044948585,102.12827448585,,,4.999378688808065e-11,,
Triethylamine [M+NH4]+,Triethylamine,,C6H15N,C6H19N2,ammoniated,119.1542724859,101.12044948585,119.15427248585,,,4.999378688808065e-11,,
Triethylamine [M+Na]+,Triethylamine,,C6H15N,C6H15NNa,sodiated,124.1102184858,101.12044948585,124.11021848585,,,4.999378688808065e-11,,
Triethylamine [M+K]+,Triethylamine,,C6H15N,C6H15KN,potassiated,140.0841564859,101.12044948585,140.08415648585,,,4.999378688808065e-11,,
Triethylamine [2M+H]+,Triethylamine,,C12H30N2,C12H31N2,dimer_protonated,202.2408989717,202.2408989717,203.2487239717,,,1.0078249999999969,,
Selenium dioxide [M+H]+,Selenium dioxide,80Se,SeO2,HO2Se,protonated,112.9141755391,111.90635053912,112.91417553912,,,1.999467258428922e-11,,
Selenium dioxide [M+NH4]+,Selenium dioxide,80Se,SeO2,H4NO2Se,ammoniated,129.9401735391,111.90635053912,129.94017353912,,,2.000888343900442e-11,,
Selenium dioxide [M+Na]+,Selenium dioxide,80Se,SeO2,NaO2Se,sodiated,134.8961195391,111.90635053912,134.89611953912,,,2.000888343900442e-11,,
Selenium dioxide [M+K]+,Selenium dioxide,80Se,SeO2,KO2Se,potassiated,150.8700575391,111.90635053912,150.87005753912,,,2.000888343900442e-11,,
Selenium dioxide [2M+H]+,Selenium dioxide,80Se,O4Se2,HO4Se2,dimer_protonated,223.8127010782,223.81270107824,224.82052607824,,,1.0078250000399862,,
PBG fragment 1 [M+H]+,PBG fragment 1,,C7H7NO,C7H8NO,protonated,122.0605888488,121.05276384884999,122.06058884884999,,,4.999378688808065e-11,,
PBG fragment 1 [M+NH4]+,PBG fragment 1,,C7H7NO,C7H11N2O,ammoniated,139.0865868489,121.05276384884999,139.08658684885,,,4.999378688808065e-11,,
PBG fragment 1 [M+Na]+,PBG fragment 1,,C7H7NO,C7H7NNaO,sodiated,144.0425328488,121.05276384884999,144.04253284885,,,4.999378688808065e-11,,
