compound,base_compound,isotope_info,neutral_formula,ion_formula,mass_type,calculated_mz
WPBG-027 fragment [M+H]+,WPBG-027 fragment,,C9H9NO2,C9H10NO2,protonated,164.07115356461998
WPBG-027 fragment [M+NH4]+,WPBG-027 fragment,,C9H9NO2,C9H13N2O2,ammoniated,181.09770266562998
WPBG-027 fragment [M+Na]+,WPBG-027 fragment,,C9H9NO2,C9H9NNaO2,sodiated,186.05309781345
WPBG-027 fragment [M+K]+,WPBG-027 fragment,,C9H9NO2,C9H9KNO2,potassiated,202.02703521255
WPBG-027 fragment [2M+H]+,WPBG-027 fragment,,C18H18N2O4,C18H19N2O4,dimer_protonated,327.13448209717
Diphenylphosphine [M+H]+,Diphenylphosphine,,C12H11P,C12H12P,protonated,187.06766201483998
Diphenylphosphine [M+NH4]+,Diphenylphosphine,,C12H11P,C12H15NP,ammoniated,204.09421111585
Diphenylphosphine [M+Na]+,Diphenylphosphine,,C12H11P,C12H11NaP,sodiated,209.04960626367
Diphenylphosphine [M+K]+,Diphenylphosphine,,C12H11P,C12H11KP,potassiated,225.02354366277
Diphenylphosphine [2M+H]+,Diphenylphosphine,,C24H22P2,C24H23P2,dimer_protonated,373.12749899761
Diphenylphosphine oxide [M+H]+,Diphenylphosphine oxide,,C12H11OP,C12H12OP,protonated,203.0625766344
Diphenylphosphine oxide [M+NH4]+,Diphenylphosphine oxide,,C12H11OP,C12H15NOP,ammoniated,220.08912573541
Diphenylphosphine oxide [M+Na]+,Diphenylphosphine oxide,,C12H11OP,C12H11NaOP,sodiated,225.04452088323
Diphenylphosphine oxide [M+K]+,Diphenylphosphine oxide,,C12H11OP,C12H11KOP,potassiated,241.01845828233002
Diphenylphosphine oxide [2M+H]+,Diphenylphosphine oxide,,C24H22O2P2,C24H23O2P2,dimer_protonated,405.11732823673003
3-MPTMS [M+H]+,3-MPTMS,,C6H16O3SSi,C6H17O3SSi,protonated,197.06676693637
3-MPTMS [M+NH4]+,3-MPTMS,,C6H16O3SSi,C6H20NO3SSi,ammoniated,214.09331603738
3-MPTMS [M+Na]+,3-MPTMS,,C6H16O3SSi,C6H16NaO3SSi,sodiated,219.04871118519998
3-MPTMS [M+K]+,3-MPTMS,,C6H16O3SSi,C6H16KO3SSi,potassiated,235.0226485843
3-MPTMS [2M+H]+,3-MPTMS,,C12H32O6S2Si2,C12H33O6S2Si2,dimer_protonated,393.12570884067
Diphenylphosphinic acid [M+H]+,Diphenylphosphinic acid,,C12H11O2P,C12H12O2P,protonated,219.05749125396
Diphenylphosphinic acid [M+NH4]+,Diphenylphosphinic acid,,C12H11O2P,C12H15NO2P,ammoniated,236.08404035497
Diphenylphosphinic acid [M+Na]+,Diphenylphosphinic acid,,C12H11O2P,C12H11NaO2P,sodiated,241.03943550279
Diphenylphosphinic acid [M+K]+,Diphenylphosphinic acid,,C12H11O2P,C12H11KO2P,potassiated,257.01337290189
Diphenylphosphinic acid [2M+H]+,Diphenylphosphinic acid,,C24H22O4P2,C24H23O4P2,dimer_protonated,437.10715747585004
Lead oxide [M+H]+,Lead oxide,204Pb,PbO,HOPb,protonated,220.97578325163002
Lead oxide [M+NH4]+,Lead oxide,204Pb,PbO,H4NOPb,ammoniated,238.00233235264
Lead oxide [M+Na]+,Lead oxide,204Pb,PbO,NaOPb,sodiated,242.95772750046
Lead oxide [M+K]+,Lead oxide,204Pb,PbO,KOPb,potassiated,258.93166489956
Lead oxide [2M+H]+,Lead oxide,204Pb,O2Pb2,HO2Pb2,dimer_protonated,440.94374147119004
Lead hydroxide [M+H]+,Lead hydroxide,204Pb,PbOH2,H3OPb,protonated,222.99143331577
Lead hydroxide [M+NH4]+,Lead hydroxide,204Pb,PbOH2,H6NOPb,ammoniated,240.01798241678
Lead hydroxide [M+Na]+,Lead hydroxide,204Pb,PbOH2,H2NaOPb,sodiated,244.9733775646
Lead hydroxide [M+K]+,Lead hydroxide,204Pb,PbOH2,H2KOPb,potassiated,260.9473149637
Lead hydroxide [2M+H]+,Lead hydroxide,204Pb,H4O2Pb2,H5O2Pb2,dimer_protonated,444.97504159947005
PBG [M+H]+,PBG,,C14H17NO2,C14H18NO2,protonated,232.13375382118
PBG [M+NH4]+,PBG,,C14H17NO2,C14H21N2O2,ammoniated,249.16030292219
PBG [M+Na]+,PBG,,C14H17NO2,C14H17NNaO2,sodiated,254.11569807001
PBG [M+K]+,PBG,,C14H17NO2,C14H17KNO2,potassiated,270.08963546911
PBG [2M+H]+,PBG,,C28H34N2O4,C28H35N2O4,dimer_protonated,463.25968261029004
WPBG-027 [M+H]+,WPBG-027,,C14H17NO2,C14H18NO2,protonated,232.13375382118
WPBG-027 [M+NH4]+,WPBG-027,,C14H17NO2,C14H21N2O2,ammoniated,249.16030292219
WPBG-027 [M+Na]+,WPBG-027,,C14H17NO2,C14H17NNaO2,sodiated,254.11569807001
WPBG-027 [M+K]+,WPBG-027,,C14H17NO2,C14H17KNO2,potassiated,270.08963546911
WPBG-027 [2M+H]+,WPBG-027,,C28H34N2O4,C28H35N2O4,dimer_protonated,463.25968261029004
TBA+ [M+H]+,TBA+,,C16H36N,C16H37N,protonated,243.29260019139
TBA+ [M+NH4]+,TBA+,,C16H36N,C16H40N2,ammoniated,260.3191492924
TBA+ [M+Na]+,TBA+,,C16H36N,C16H36NNa,sodiated,265.27454444022
TBA+ [M+K]+,TBA+,,C16H36N,C16H36KN,potassiated,281.24848183932
TBA+ [2M+H]+,TBA+,,C32H72N2,C32H73N2,dimer_protonated,485.57737535071
1-Octadecene [M+H]+,1-Octadecene,,C18H36,C18H37,protonated,253.28952618659
1-Octadecene [M+NH4]+,1-Octadecene,,C18H36,C18H40N,ammoniated,270.3160752876
1-Octadecene [M+Na]+,1-Octadecene,,C18H36,C18H36Na,sodiated,275.27147043542
1-Octadecene [M+K]+,1-Octadecene,,C18H36,C18H36K,potassiated,291.24540783452
1-Octadecene [2M+H]+,1-Octadecene,,C36H72,C36H73,dimer_protonated,505.57122734111
Palmitic acid - H2O [M+H]+,Palmitic acid - H2O,,C16H30O,C16H31O,protonated,239.23749061373002
Palmitic acid - H2O [M+NH4]+,Palmitic acid - H2O,,C16H30O,C16H34NO,ammoniated,256.26403971473997
Palmitic acid - H2O [M+Na]+,Palmitic acid - H2O,,C16H30O,C16H30NaO,sodiated,261.21943486256
Palmitic acid - H2O [M+K]+,Palmitic acid - H2O,,C16H30O,C16H30KO,potassiated,277.19337226166004
Palmitic acid - H2O [2M+H]+,Palmitic acid - H2O,,C32H60O2,C32H61O2,dimer_protonated,477.46715619539003
Palmitic acid [M+H]+,Palmitic acid,,C16H32O2,C16H33O2,protonated,257.24805529743
Palmitic acid [M+NH4]+,Palmitic acid,,C16H32O2,C16H36NO2,ammoniated,274.27460439844
Palmitic acid [M+Na]+,Palmitic acid,,C16H32O2,C16H32NaO2,sodiated,279.22999954626
Palmitic acid [M+K]+,Palmitic acid,,C16H32O2,C16H32KO2,potassiated,295.20393694536006
Palmitic acid [2M+H]+,Palmitic acid,,C32H64O4,C32H65O4,dimer_protonated,513.48828556279
Palmitic acid [M-H2O+H]+,Palmitic acid,,C16H30O,C16H31O,dehydrated_protonated,239.23749061373002
Palmitic acid [M-CO2+H]+,Palmitic acid,,C15H32,C15H33,decarboxylated_protonated,213.25822605831002
Diphenylphosphine selenide [M+H]+,Diphenylphosphine selenide,74Se,C12H11PSe,C12H12PSe,protonated,260.99013841484
Diphenylphosphine selenide [M+NH4]+,Diphenylphosphine selenide,74Se,C12H11PSe,C12H15NPSe,ammoniated,278.01668751585
Diphenylphosphine selenide [M+Na]+,Diphenylphosphine selenide,74Se,C12H11PSe,C12H11NaPSe,sodiated,282.97208266367
Diphenylphosphine selenide [M+K]+,Diphenylphosphine selenide,74Se,C12H11PSe,C12H11KPSe,potassiated,298.94602006277
Diphenylphosphine selenide [2M+H]+,Diphenylphosphine selenide,74Se,C24H22PSe2,C24H23PSe2,dimer_protonated,489.99869016761
Diphenylphosphine selenide [M+H]+,Diphenylphosphine selenide,76Se,C12H11PSe,C12H12PSe,protonated,262.98687561483996
Diphenylphosphine selenide [M+NH4]+,Diphenylphosphine selenide,76Se,C12H11PSe,C12H15NPSe,ammoniated,280.01342471584996
Diphenylphosphine selenide [M+Na]+,Diphenylphosphine selenide,76Se,C12H11PSe,C12H11NaPSe,sodiated,284.96881986367
Diphenylphosphine selenide [M+K]+,Diphenylphosphine selenide,76Se,C12H11PSe,C12H11KPSe,potassiated,300.94275726277
Diphenylphosphine selenide [2M+H]+,Diphenylphosphine selenide,76Se,C24H22PSe2,C24H23PSe2,dimer_protonated,493.99216456761
Diphenylphosphine selenide [M+H]+,Diphenylphosphine selenide,77Se,C12H11PSe,C12H12PSe,protonated,263.98757601484
Diphenylphosphine selenide [M+NH4]+,Diphenylphosphine selenide,77Se,C12H11PSe,C12H15NPSe,ammoniated,281.01412511585
Diphenylphosphine selenide [M+Na]+,Diphenylphosphine selenide,77Se,C12H11PSe,C12H11NaPSe,sodiated,285.96952026367
Diphenylphosphine selenide [M+K]+,Diphenylphosphine selenide,77Se,C12H11PSe,C12H11KPSe,potassiated,301.94345766277
