compound,base_compound,isotope_info,neutral_formula,ion_formula,mass_type
Triethylamine [M+Na]+,Triethylamine,,C6H15N,C6H15NNa,sodiated
Triethylamine [M+K]+,Triethylamine,,C6H15N,C6H15KN,potassiated
Triethylamine [2M+H]+,Triethylamine,,C12H30N2,C12H31N2,dimer_protonated
Selenium dioxide [M+H]+,Selenium dioxide,80Se,SeO2,HO2Se,protonated
Selenium dioxide [M+NH4]+,Selenium dioxide,80Se,SeO2,H4NO2Se,ammoniated
Selenium dioxide [M+Na]+,Selenium dioxide,80Se,SeO2,NaO2Se,sodiated
Selenium dioxide [M+K]+,Selenium dioxide,80Se,SeO2,KO2Se,potassiated
Selenium dioxide [2M+H]+,Selenium dioxide,80Se,O4Se2,HO4Se2,dimer_protonated
PBG fragment 1 [M+H]+,PBG fragment 1,,C7H7NO,C7H8NO,protonated
PBG fragment 1 [M+NH4]+,PBG fragment 1,,C7H7NO,C7H11N2O,ammoniated
PBG fragment 1 [M+Na]+,PBG fragment 1,,C7H7NO,C7H7NNaO,sodiated
PBG fragment 1 [M+K]+,PBG fragment 1,,C7H7NO,C7H7KNO,potassiated
PBG fragment 1 [2M+H]+,PBG fragment 1,,C14H14N2O2,C14H15N2O2,dimer_protonated
PBG fragment 2 [M+H]+,PBG fragment 2,,C7H8O2,C7H9O2,protonated
PBG fragment 2 [M+NH4]+,PBG fragment 2,,C7H8O2,C7H12NO2,ammoniated
PBG fragment 2 [M+Na]+,PBG fragment 2,,C7H8O2,C7H8NaO2,sodiated
PBG fragment 2 [M+K]+,PBG fragment 2,,C7H8O2,C7H8KO2,potassiated
PBG fragment 2 [2M+H]+,PBG fragment 2,,C14H16O4,C14H17O4,dimer_protonated
Quinoline [M+H]+,Quinoline,,C9H7N,C9H8N,protonated
Quinoline [M+NH4]+,Quinoline,,C9H7N,C9H11N2,ammoniated
Quinoline [M+Na]+,Quinoline,,C9H7N,C9H7NNa,sodiated
Quinoline [M+K]+,Quinoline,,C9H7N,C9H7KN,potassiated
Quinoline [2M+H]+,Quinoline,,C18H14N2,C18H15N2,dimer_protonated
Selenic acid [M+H]+,Selenic acid,80Se,H2SeO4,H3O4Se,protonated
Selenic acid [M+NH4]+,Selenic acid,80Se,H2SeO4,H6NO4Se,ammoniated
Selenic acid [M+Na]+,Selenic acid,80Se,H2SeO4,H2NaO4Se,sodiated
Selenic acid [M+K]+,Selenic acid,80Se,H2SeO4,H2KO4Se,potassiated
Selenic acid [2M+H]+,Selenic acid,80Se,H4O8Se2,H5O8Se2,dimer_protonated
Coumarin [M+H]+,Coumarin,,C9H6O2,C9H7O2,protonated
Coumarin [M+NH4]+,Coumarin,,C9H6O2,C9H10NO2,ammoniated
Coumarin [M+Na]+,Coumarin,,C9H6O2,C9H6NaO2,sodiated
Coumarin [M+K]+,Coumarin,,C9H6O2,C9H6KO2,potassiated
