compound,base_compound,isotope_info,neutral_formula,ion_formula,mass_type,calculated_mz
Selenium dioxide [M+Na]+,Selenium dioxide,80Se,SeO2,NaO2Se,sodiated,134.90510043516093
Selenium dioxide [M+K]+,Selenium dioxide,80Se,SeO2,KO2Se,potassiated,151.0136322787237
Selenium dioxide [2M+H]+,Selenium dioxide,80Se,O4Se2,HO4Se2,dimer_protonated,224.83860306241763
PBG fragment 1 [M+H]+,PBG fragment 1,,C7H7NO,C7H8NO,protonated,122.14478544745974
PBG fragment 1 [M+NH4]+,PBG fragment 1,,C7H7NO,C7H11N2O,ammoniated,139.17531092095896
PBG fragment 1 [M+Na]+,PBG fragment 1,,C7H7NO,C7H7NNaO,sodiated,144.12661397446396
PBG fragment 1 [M+K]+,PBG fragment 1,,C7H7NO,C7H7KNO,potassiated,160.23514581802672
PBG fragment 1 [2M+H]+,PBG fragment 1,,C14H14N2O2,C14H15N2O2,dimer_protonated,243.2816301410237
PBG fragment 2 [M+H]+,PBG fragment 2,,C7H8O2,C7H9O2,protonated,125.14542791667398
PBG fragment 2 [M+NH4]+,PBG fragment 2,,C7H8O2,C7H12NO2,ammoniated,142.17595339017322
PBG fragment 2 [M+Na]+,PBG fragment 2,,C7H8O2,C7H8NaO2,sodiated,147.12725644367822
PBG fragment 2 [M+K]+,PBG fragment 2,,C7H8O2,C7H8KO2,potassiated,163.23578828724098
PBG fragment 2 [2M+H]+,PBG fragment 2,,C14H16O4,C14H17O4,dimer_protonated,249.2829150794522
Quinoline [M+H]+,Quinoline,,C9H7N,C9H8N,protonated,130.1668523138582
Quinoline [M+NH4]+,Quinoline,,C9H7N,C9H11N2,ammoniated,147.19737778735742
Quinoline [M+Na]+,Quinoline,,C9H7N,C9H7NNa,sodiated,152.1486808408624
Quinoline [M+K]+,Quinoline,,C9H7N,C9H7KN,potassiated,168.25721268442518
Quinoline [2M+H]+,Quinoline,,C18H14N2,C18H15N2,dimer_protonated,259.32576387382056
Selenic acid [M+H]+,Selenic acid,80Se,H2SeO4,H3O4Se,protonated,146.93796327020914
Selenic acid [M+NH4]+,Selenic acid,80Se,H2SeO4,H6NO4Se,ammoniated,163.9684887437084
Selenic acid [M+Na]+,Selenic acid,80Se,H2SeO4,H2NaO4Se,sodiated,168.9197917972134
