scan_number,compound,theoretical_mz,observed_mz,mz_difference,tolerance_used,intensity,sn_ratio,mass_type,molecular_formula
6,Piperidine [M+H]+,86.09697399999999,86.0929,0.004073999999988587,0.01,1038.0,42.5,protonated,C5H11N
6,Toluene [M+H]+,93.070425,93.0648,0.005624999999994884,0.01,39667.0,1631.2,protonated,C7H8
6,Aniline [M+H]+,94.065674,94.0631,0.0025739999999956353,0.01,5571.0,229.2,protonated,C6H7N
6,Phosphoric acid [M+H]+,98.984722,98.979,0.005722000000005778,0.01,2248.0,92.6,protonated,H3PO4
6,Triethylamine [M+H]+,102.12827451792,102.1225,0.005774517920002609,0.01,1142.0,47.0,protonated,C6H15N
6,PBG fragment 1 [M+H]+,122.060589,122.0556,0.004988999999994803,0.01,4520.0,186.3,protonated,C7H7NO
6,PBG fragment 2 [M+H]+,125.060255,125.0533,0.0069550000000049295,0.01,20685.0,853.9,protonated,C7H8O2
6,Quinoline [M+H]+,130.06567426136002,130.0537,0.011974261360023775,0.02,1670.0,68.7,protonated,C9H7N
6,Quinoline [M+H]+,130.06567426136002,130.0825,0.01682573863999437,0.02,2468.0,101.5,protonated,C9H7N
6,Lead stearate [M+H]+,150.1130183766,150.1146,0.0015816233999998985,0.01,4918.0,197.1,protonated,C6H15NO3
6,Triethanolamine [M+H]+,150.11301899999998,150.1146,0.0015810000000158198,0.01,4918.0,197.1,protonated,C6H15NO3
6,Quinoline [M+Na]+,152.047619,152.0297,0.017919000000006235,0.02,390.0,15.5,sodium_adduct,C9H7N
6,Quinoline [M+Na]+,152.047619,152.0676,0.01998100000000136,0.02,815.0,32.4,sodium_adduct,C9H7N
6,WPBG-027 fragment [M+H]+,164.071154,164.0709,0.00025400000001241096,0.01,3027.0,117.7,protonated,C9H9NO2
6,Diphenylphosphine [M+H]+,187.06766201484,187.0554,0.012262014840018765,0.02,1474.0,54.1,protonated,C12H11P
6,3-MPTMS [M+H]+,209.06676693637,209.0764,0.009633063630019478,0.01,1183.0,40.1,protonated,C7H16O3SSi
6,PBG [M+H]+,232.13375382118,232.1469,0.013146178819994248,0.02,1999.0,61.3,protonated,C14H17NO2
6,WPBG-027 [M+H]+,232.13375382118,232.1469,0.013146178819994248,0.02,1999.0,61.3,protonated,C14H17NO2
6,1-Octadecene [M+H]+,253.289525,253.2803,0.009224999999986494,0.01,407.0,11.2,protonated,C18H36
6,Linoleic acid [M+Na]+,305.24565,305.2394,0.006250000000022737,0.01,1628.0,32.3,sodium_adduct,C18H34O2
6,Oleic acid [M+Na]+,305.24565,305.2394,0.006250000000022737,0.01,1628.0,32.3,sodium_adduct,C18H34O2
6,Stearic acid [M+Na]+,307.2613,307.2497,0.011599999999987176,0.02,1626.0,32.0,sodium_adduct,C18H36O2
6,Lead acetate [M+H]+,327.01108700000003,326.9948,0.016287000000033913,0.02,6586.0,118.8,protonated,PbC4H6O4
6,TOPO [M+H]+,387.3755779172,387.3579,0.017677917200046522,0.02,1928.0,31.9,protonated,C24H51OP
7,DMSO [M+H]+,79.02176084405,79.0168,0.004960844049989532,0.01,2059.0,85.5,protonated,C2H6OS
7,DMSO-d6 [M+H]+,85.059423,85.0595,7.700000000454565e-05,0.01,10509.0,440.4,protonated,C2D6OS
7,Piperidine [M+H]+,86.09697399999999,86.0928,0.004173999999991906,0.01,975.0,40.8,protonated,C5H11N
7,Toluene [M+H]+,93.070425,93.0648,0.005624999999994884,0.01,39246.0,1646.5,protonated,C7H8
7,Aniline [M+H]+,94.065674,94.0636,0.0020740000000074588,0.01,5239.0,219.9,protonated,C6H7N
7,Phosphoric acid [M+H]+,98.984722,98.9793,0.00542200000001003,0.01,2351.0,98.8,protonated,H3PO4
7,Triethylamine [M+H]+,102.12827451792,102.122,0.006274517920004996,0.01,1080.0,45.3,protonated,C6H15N
7,PBG fragment 1 [M+H]+,122.060589,122.0556,0.004988999999994803,0.01,4464.0,186.6,protonated,C7H7NO
7,PBG fragment 2 [M+H]+,125.060255,125.0533,0.0069550000000049295,0.01,20544.0,860.7,protonated,C7H8O2
7,Quinoline [M+H]+,130.06567426136002,130.0541,0.011574261360010496,0.02,1928.0,80.6,protonated,C9H7N
